# Date of Measurement: 20230426
# Titration Curve
# 8.43 mL of 4 mM L-C18K1
#
#
# Col 1, total added amount of 100mM NaOH (uL)
# Col 2, pH
# Col 3, wait time (min)
0     4.06    15
5     4.30    5
10    4.46    5
20    4.74    3
30    4.98    3
40    5.11    3
50    5.18    3
70    5.47    3
90    5.74    3
110   5.92    3
130   6.20    3
150   6.54    3
170   6.89    3
190   7.26    3
200   7.51    3
210   7.72    3
220   7.89    3
230   8.15    3
240   8.42    3
250   8.78    3
260   9.10    3
270   9.42    3
280   9.71    3
290   9.85    3
300   9.98    3
310   10.03   3
320   10.10   3
330   10.13   3
340   10.13   3
360   10.30   3
400   10.57   3
