# Date of Measurement: 20200922
# Titration Curve
# 5.4 mL of 4 mM L-C16K1 (C16K batch 20170201)
#
# 5 - 15 minutes in between measurements
#
# Col 1, total added amount of 50mM NaOH (uL)
# Col 2, pH
0     4.47
10    4.76
20    4.77
30    4.90
40    4.97
50    5.06
60    5.08
70    5.16
80    5.32
90    5.51
100   5.74
110   5.80
120   5.97
130   6.14
140   6.31
150   6.46
160   6.61
170   6.78
180   6.86
190   6.97
200   7.08
210   7.23
220   7.34
230   7.44
240   7.57
250   7.73
260   7.84
270   8.00
280   8.20
300   8.55
320   9.02
340   9.47
360   9.76
380   9.92
400   10.05
430   10.26
